Season,Squad,Country,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2016-2017,Celtic,Scotland,22,26.5,6,66,4,2,6,3,1,2,0.0,0.0
2016-2017,Club Brugge,Belgium,21,26.8,6,66,2,2,4,2,0,0,0.0,0.0
2016-2017,CSKA Moscow,Russia,19,27.9,6,66,5,4,9,4,1,1,0.0,0.0
2016-2017,Dinamo Zagreb,Croatia,24,24.4,6,66,0,0,0,0,0,0,0.0,1.0
2016-2017,Dortmund,Germany,25,25.1,10,110,27,21,48,26,1,2,0.0,0.0
2016-2017,Dynamo Kyiv,Ukraine,24,26.1,6,66,8,5,13,7,1,2,0.0,1.0
2016-2017,FC Copenhagen,Denmark,19,25.5,6,66,5,5,10,5,0,1,0.0,1.0
2016-2017,Juventus,Italy,25,29.9,13,144,21,10,31,18,3,3,0.0,2.0
2016-2017,Legia Warsaw,Poland,22,28.0,6,66,9,8,17,8,1,1,0.0,1.0
2016-2017,Leicester City,England,26,28.0,10,110,11,5,16,9,2,2,0.0,0.0
2016-2017,Leverkusen,Germany,26,24.6,8,88,8,5,13,8,0,1,0.0,0.0
2016-2017,Ludogorets,Bulgaria,19,28.5,6,66,6,4,10,6,0,1,0.0,0.0
2016-2017,Lyon,France,21,25.3,6,66,5,5,10,5,0,1,0.0,0.0
2016-2017,M'Gladbach,Germany,19,25.5,6,66,5,4,9,5,0,0,0.0,1.0
2016-2017,Manchester City,England,22,28.1,8,88,18,14,32,17,1,1,0.0,1.0
2016-2017,Monaco,France,23,25.3,12,132,21,14,35,21,0,3,0.0,1.0
2016-2017,Napoli,Italy,21,26.7,8,88,13,9,22,11,2,3,0.0,0.0
2016-2017,Paris S-G,France,24,26.6,8,88,17,14,31,16,1,1,0.0,1.0
2016-2017,Porto,Portugal,23,26.0,8,88,9,7,16,7,2,2,0.0,1.0
2016-2017,PSV Eindhoven,The Netherlands,20,24.9,6,66,4,2,6,4,0,2,0.0,0.0
2016-2017,Real Madrid,Spain,23,27.4,13,143,34,30,64,34,0,0,0.0,0.0
2016-2017,Rostov,Russia,18,29.0,6,66,6,4,10,5,1,1,0.0,0.0
2016-2017,Sevilla,Spain,22,27.4,8,88,9,8,17,9,0,3,0.0,2.0
2016-2017,Sporting CP,Portugal,21,26.2,6,66,5,2,7,4,1,1,0.0,1.0
2016-2017,Tottenham,England,21,24.9,6,66,5,5,10,4,1,1,0.0,0.0
2014-2015,Ajax,The Netherlands,19,23.6,6,66,8,6,14,7,1,1,0.0,0.0
2014-2015,Anderlecht,Belgium,21,23.7,6,66,8,4,12,7,1,1,0.0,0.0
2014-2015,APOEL FC,Cyprus,21,28.9,10,66,1,0,1,0,1,1,0.0,0.0
2014-2015,Arsenal,England,29,25.4,10,88,18,9,27,17,1,1,0.0,0.0
2014-2015,Athletic Club,Spain,20,26.9,8,66,5,5,10,5,0,0,0.0,0.0
2014-2015,Atlético Madrid,Spain,23,27.4,10,110,15,10,25,15,0,0,0.0,0.0
2014-2015,Barcelona,Spain,22,26.8,13,143,31,26,57,31,0,1,0.0,0.0
2014-2015,Basel,Switzerland,23,25.1,8,88,8,6,14,8,0,0,0.0,0.0
2014-2015,BATE Borisov,Belarus,20,25.3,12,66,2,1,3,2,0,0,0.0,0.0
2014-2015,Bayern Munich,Germany,24,26.7,12,132,33,23,56,29,4,4,0.0,0.0
2014-2015,Benfica,Portugal,24,27.5,6,66,2,2,4,2,0,0,0.0,0.0
2014-2015,Chelsea,England,24,27.1,8,88,18,12,30,14,4,5,0.0,0.0
2014-2015,CSKA Moscow,Russia,18,27.0,6,66,6,4,10,5,1,1,0.0,0.0
2014-2015,Dortmund,Germany,24,26.5,8,88,14,12,26,14,0,0,0.0,0.0
2014-2015,Galatasaray,Türkiye,22,27.7,6,66,4,2,6,3,1,1,0.0,0.0
2014-2015,Juventus,Italy,24,29.3,13,143,16,11,27,14,2,3,0.0,0.0
2014-2015,Leverkusen,Germany,21,25.2,10,88,8,7,15,7,1,1,0.0,0.0
2014-2015,Liverpool,England,21,25.7,6,66,5,1,6,4,1,1,0.0,0.0
2014-2015,Ludogorets,Bulgaria,19,27.4,12,66,5,4,9,5,0,0,0.0,0.0
2014-2015,Malmö,Sweden,17,25.1,12,66,4,2,6,4,0,0,0.0,0.0
2014-2015,Manchester City,England,20,28.7,8,88,10,4,14,8,2,3,0.0,0.0
2014-2015,Monaco,France,22,25.9,10,110,7,7,14,7,0,0,0.0,0.0
2014-2015,NK Maribor,Slovenia,17,27.3,12,66,3,1,4,3,0,1,0.0,0.0
2014-2015,Olympiacos,Greece,19,26.7,6,66,10,8,18,10,0,0,0.0,0.0
2014-2015,Paris S-G,France,19,27.2,10,110,13,11,24,13,0,0,0.0,0.0
2014-2015,Porto,Portugal,23,24.4,12,110,25,12,37,22,3,5,0.0,0.0
2014-2015,Real Madrid,Spain,23,26.4,12,132,23,19,42,20,3,4,0.0,0.0
2014-2015,Roma,Italy,20,28.3,6,66,7,5,12,7,0,0,0.0,0.0
2014-2015,Schalke 04,Germany,26,25.6,8,88,12,8,20,11,1,1,0.0,0.0
2014-2015,Shakhtar,Ukraine,20,27.0,8,88,15,11,26,12,3,3,0.0,0.0
2014-2015,Sporting CP,Portugal,19,24.1,6,66,12,5,17,9,3,3,0.0,0.0
2014-2015,ruZen,Italy,18,27.6,10,66,4,4,8,4,0,0,0.0,0.0
2013-2014,Ajax,The Netherlands,21,23.5,6,66,5,3,8,5,0,1,0.0,0.0
2013-2014,Anderlecht,Belgium,21,23.3,6,66,4,4,8,4,0,1,0.0,0.0
2013-2014,Arsenal,England,24,26.9,10,88,9,8,17,9,0,2,0.0,0.0
2013-2014,Atlético Madrid,Spain,24,26.7,13,143,26,18,44,25,1,2,0.0,0.0
2013-2014,Austria Wien,Austria,19,26.1,10,66,5,4,9,5,0,0,0.0,0.0
2013-2014,Barcelona,Spain,24,27.6,10,110,21,16,37,18,3,3,0.0,0.0
2013-2014,Basel,Switzerland,19,25.2,10,66,5,6,11,5,0,0,0.0,0.0
2013-2014,Bayern Munich,Germany,22,26.5,12,132,24,20,44,22,2,4,0.0,0.0
2013-2014,Benfica,Portugal,21,27.0,6,66,7,4,11,6,1,1,0.0,0.0
2013-2014,Celtic,Scotland,19,25.7,12,66,3,1,4,2,1,1,0.0,0.0
2013-2014,Chelsea,England,22,28.1,12,132,18,14,32,17,1,1,0.0,0.0
2013-2014,CSKA Moscow,Russia,20,26.2,6,66,7,5,12,5,2,2,0.0,0.0
2013-2014,Dortmund,Germany,23,25.9,10,110,17,11,28,15,2,2,0.0,0.0
2013-2014,FC Copenhagen,Denmark,19,27.5,6,66,4,3,7,4,0,0,0.0,0.0
2013-2014,Galatasaray,Türkiye,23,28.3,8,88,9,8,17,9,0,0,0.0,0.0
2013-2014,Juventus,Italy,21,28.3,6,66,9,5,14,5,4,4,0.0,0.0
2013-2014,Leverkusen,Germany,21,25.4,8,88,10,5,15,9,1,2,0.0,0.0
2013-2014,Manchester City,England,21,27.5,8,88,19,15,34,16,3,3,0.0,0.0
2013-2014,Manchester Utd,England,24,27.7,10,110,15,11,26,14,1,2,0.0,0.0
2013-2014,Marseille,France,19,26.6,6,66,5,4,9,4,1,1,0.0,0.0
2013-2014,Milan,Italy,25,28.4,10,88,7,4,11,6,1,1,0.0,0.0
2013-2014,Napoli,Italy,19,27.5,6,66,10,8,18,10,0,0,0.0,0.0
2013-2014,Olympiacos,Greece,23,26.4,8,88,12,10,22,11,1,3,0.0,0.0
2013-2014,Paris S-G,France,21,26.8,10,110,24,20,44,23,1,2,0.0,0.0
2013-2014,Porto,Portugal,18,26.2,6,66,4,4,8,4,0,1,0.0,0.0
2013-2014,Real Madrid,Spain,22,26.5,13,143,41,35,76,39,2,4,0.0,0.0
2013-2014,Real Sociedad,Spain,23,26.0,8,66,1,0,1,1,0,1,0.0,0.0
2013-2014,Schalke 04,Germany,25,25.0,10,88,8,6,14,8,0,0,0.0,0.0
2013-2014,Shakhtar,Ukraine,17,26.9,6,66,7,4,11,7,0,0,0.0,0.0
2013-2014,Steaua,Romania,21,26.5,12,66,2,2,4,2,0,0,0.0,0.0
2013-2014,Viktoria Plzeň,Czech Republic,18,28.9,12,66,6,6,12,6,0,0,0.0,0.0
2013-2014,ruZen,Italy,21,27.4,12,88,8,5,13,7,1,2,0.0,0.0
2012-2013,Ajax,The Netherlands,18,24.4,6,66,8,6,14,8,0,0,7.0,0.0
2012-2013,Anderlecht,Belgium,20,26.3,10,66,4,4,8,4,0,0,17.0,1.0
2012-2013,Arsenal,England,28,25.6,8,88,13,14,27,13,0,0,26.0,0.0
