Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2020-2021,Quarter-finals,Tue,2021-04-06,21:00,Real Madrides,3–1,engLiverpool,Estadio Alfredo Di Stéfano,Felix Brych,Match Report,Leg 1 of 2
2020-2021,Quarter-finals,Wed,2021-04-07,20:00,Portopt,0–2,engChelsea,Estadio Ramón Sánchez Pizjuán (Neutral Site),Slavko Vinčič,Match Report,Leg 1 of 2
2020-2021,Quarter-finals,Wed,2021-04-07,21:00,Bayern Munichde,2–3,frParis S-G,Allianz Arena,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2020-2021,Quarter-finals,Tue,2021-04-13,20:00,Chelseaeng,0–1,ptPorto,Estadio Ramón Sánchez Pizjuán (Neutral Site),Clément Turpin,Match Report,Leg 2 of 2; Chelsea won
2020-2021,Quarter-finals,Tue,2021-04-13,21:00,Paris S-Gfr,0–1,deBayern Munich,Parc des Princes,Daniele Orsato,Match Report,Leg 2 of 2; Paris S-G won
2020-2021,Quarter-finals,Wed,2021-04-14,20:00,Liverpooleng,0–0,esReal Madrid,Anfield,Björn Kuipers,Match Report,Leg 2 of 2; Real Madrid won
2020-2021,Quarter-finals,Wed,2021-04-14,21:00,Dortmundde,1–2,engManchester City,Signal Iduna Park,Carlos del Cerro,Match Report,Leg 2 of 2; Manchester City won
2020-2021,Semi-finals,Tue,2021-04-27,21:00,Real Madrides,1–1,engChelsea,Estadio Alfredo Di Stéfano,Danny Makkelie,Match Report,Leg 1 of 2
2020-2021,Semi-finals,Wed,2021-04-28,21:00,Paris S-Gfr,1–2,engManchester City,Parc des Princes,Felix Brych,Match Report,Leg 1 of 2
2020-2021,Semi-finals,Tue,2021-05-04,20:00,Manchester Cityeng,2–0,frParis S-G,Etihad Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Manchester City won
2020-2021,Semi-finals,Wed,2021-05-05,20:00,Chelseaeng,2–0,esReal Madrid,Stamford Bridge,Daniele Orsato,Match Report,Leg 2 of 2; Chelsea won
2020-2021,Final,Sat,2021-05-29,22:00,Manchester Cityeng,0–1,engChelsea,"14,110",Estádio Do Dragão (Neutral Site),Antonio Matéu Lahoz,Match Report
2019-2020,Round of 16,Tue,2020-02-18,21:00,Atlético Madrides,1–0,engLiverpool,"67,443",Estadio Wanda Metropolitano,Szymon Marciniak,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-02-18,21:00,Dortmundde,2–1,frParis S-G,"66,099",Signal Iduna Park,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-19,20:00,Tottenhameng,0–1,deRB Leipzig,"60,095",Tottenham Hotspur Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-19,21:00,Atalantait,4–1,esValencia,"44,236",Stadio Giuseppe Meazza,Michael Oliver,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-02-25,20:00,Chelseaeng,0–3,deBayern Munich,"36,761",Stamford Bridge,Clément Turpin,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-02-25,21:00,Napoliit,1–1,esBarcelona,"44,388",Stadio San Paolo,Felix Brych,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-26,21:00,Real Madrides,1–2,engManchester City,"75,615",Estadio Santiago Bernabéu,Daniele Orsato,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-26,21:00,Lyonfr,1–0,itJuventus,"57,335",Groupama Stadium,Jesús Gil,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-03-10,21:00,Valenciaes,3–4,itAtalanta,Estadio de Mestalla,Ovidiu Hațegan,Match Report,Leg 2 of 2; Atalanta won
2019-2020,Round of 16,Tue,2020-03-10,21:00,RB Leipzigde,3–0,engTottenham,"42,146",Red Bull Arena,Carlos del Cerro,Match Report,Leg 2 of 2; RB Leipzig won
2019-2020,Round of 16,Wed,2020-03-11,20:00,Liverpooleng,2–3,esAtlético Madrid,"52,267",Anfield,Danny Makkelie,Match Report,Leg 2 of 2; Atlético Madrid won; Required Extra Time
2019-2020,Round of 16,Wed,2020-03-11,21:00,Paris S-Gfr,2–0,deDortmund,Parc des Princes,Anthony Taylor,Match Report,Leg 2 of 2; Paris S-G won
2019-2020,Round of 16,Fri,2020-08-07,20:00,Manchester Cityeng,2–1,esReal Madrid,Etihad Stadium,Felix Brych,Match Report,Leg 2 of 2; Manchester City won
2019-2020,Round of 16,Fri,2020-08-07,21:00,Juventusit,2–1,frLyon,Allianz Stadium,Felix Zwayer,Match Report,Leg 2 of 2; Lyon won
2019-2020,Round of 16,Sat,2020-08-08,21:00,Barcelonaes,3–1,itNapoli,Camp Nou,Cüneyt Çakιr,Match Report,Leg 2 of 2; Barcelona won
2019-2020,Round of 16,Sat,2020-08-08,21:00,Bayern Munichde,4–1,engChelsea,Allianz Arena,Ovidiu Hațegan,Match Report,Leg 2 of 2; Bayern Munich won
2019-2020,Quarter-finals,Wed,2020-08-12,21:00,Atalantait,1–2,frParis S-G,Estádio do Sport Lisboa e Benfica (Neutral Site),Anthony Taylor,Match Report
2019-2020,Quarter-finals,Thu,2020-08-13,21:00,RB Leipzigde,2–1,esAtlético Madrid,Estádio José Alvalade (Neutral Site),Szymon Marciniak,Match Report
2019-2020,Quarter-finals,Fri,2020-08-14,20:00,Barcelonaes,2–8,deBayern Munich,Estádio do Sport Lisboa e Benfica (Neutral Site),Damir Skomina,Match Report
2019-2020,Quarter-finals,Sat,2020-08-15,20:00,Manchester Cityeng,1–3,frLyon,Estádio José Alvalade (Neutral Site),Danny Makkelie,Match Report
2019-2020,Semi-finals,Tue,2020-08-18,20:00,RB Leipzigde,0–3,frParis S-G,Estádio do Sport Lisboa e Benfica (Neutral Site),Björn Kuipers,Match Report
2019-2020,Semi-finals,Wed,2020-08-19,20:00,Lyonfr,0–3,deBayern Munich,Estádio José Alvalade (Neutral Site),Antonio Matéu Lahoz,Match Report
2019-2020,Final,Sun,2020-08-23,20:00,Paris S-Gfr,0–1,deBayern Munich,Estádio do Sport Lisboa e Benfica (Neutral Site),Daniele Orsato,Match Report
2018-2019,Round of 16,Tue,2019-02-12,20:00,Manchester Utdeng,0–2,frParis S-G,"74,054",Old Trafford,Daniele Orsato,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-02-12,21:00,Romait,2–1,ptPorto,"51,727",Stadio Olimpico,Jochem Kamphuis,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-13,20:00,Tottenhameng,3–0,deDortmund,"71,214",Wembley Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-13,21:00,Ajaxnl,1–2,esReal Madrid,"52,286",Johan Cruyff ArenA,Szymon Marciniak,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-02-19,20:00,Liverpooleng,0–0,deBayern Munich,"52,250",Anfield,Gianluca Rocchi,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-02-19,21:00,Lyonfr,0–0,esBarcelona,"57,889",Groupama Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-20,21:00,Schalke 04de,2–3,engManchester City,"54,417",Veltins-Arena,Alejandro Hernández,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-20,21:00,Atlético Madrides,2–0,itJuventus,"67,193",Estadio Wanda Metropolitano,Felix Zwayer,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-03-05,21:00,Real Madrides,1–4,nlAjax,"77,013",Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 2 of 2; Ajax won
2018-2019,Round of 16,Tue,2019-03-05,21:00,Dortmundde,0–1,engTottenham,"66,099",Signal Iduna Park,Danny Makkelie,Match Report,Leg 2 of 2; Tottenham won
2018-2019,Round of 16,Wed,2019-03-06,20:00,Portopt,3–1,itRoma,"49,029",Estádio Do Dragão,Paweł Gil,Match Report,Leg 2 of 2; Porto won; Required Extra Time
2018-2019,Round of 16,Wed,2019-03-06,21:00,Paris S-Gfr,1–3,engManchester Utd,"47,441",Parc des Princes,Damir Skomina,Match Report,Leg 2 of 2; Manchester Utd won
2018-2019,Round of 16,Tue,2019-03-12,20:00,Manchester Cityeng,7–0,deSchalke 04,"51,518",Etihad Stadium,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
