Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
2018-2019,GR,trGalatasaray,6,1,1,4,5,8,-3,4,"41,394",Eren Derdiyok-2,Fernando Muslera
2018-2019,GR,chYoung Boys,6,1,1,4,4,12,-8,4,"30,785",Guillaume Hoarau-3,David von Ballmoos
2018-2019,GR,rsRed Star,6,1,1,4,5,17,-12,4,"49,596",Milan Pavkov-2,Milan Borjan
2018-2019,GR,deHoffenheim,6,0,3,3,11,14,-3,3,"23,972",Andrej Kramarić-5,Oliver Baumann
2018-2019,GR,ruLoko Moscow,6,1,0,5,4,12,-8,3,"17,181","Vladislav Ignatyev,Anton Miranchuk... -1",Guilherme Marinato
2018-2019,GR,nlPSV Eindhoven,6,0,2,4,6,13,-7,2,"34,783",Luuk de Jong-3,Jeroen Zoet
2018-2019,GR,frMonaco,6,0,1,5,2,14,-12,1,"9,218","Samuel Grandsir,Moussa Sylla-1",Diego Benaglio
2018-2019,GR,grAEK Athens,6,0,0,6,2,13,-11,0,"39,377",Viktor Klonaridis-2,Vasilios Barkas
2017-2018,W,esReal Madrid,13,9,2,2,33,16,+17,29,"75,398",Cristiano Ronaldo-15,Keylor Navas,→ Champions League via playoff win
2017-2018,F,engLiverpool,13,7,4,2,41,16,+25,25,"49,960","Roberto Firmino,Sadio Mané... -10",Loris Karius
2017-2018,SF,deBayern Munich,12,8,2,2,26,12,+14,26,"70,000",Robert Lewandowski-5,Sven Ulreich
2017-2018,SF,itRoma,12,6,2,4,21,19,+2,20,"48,587",Edin Džeko-8,Alisson
2017-2018,QF,esBarcelona,10,6,3,1,17,6,+11,21,"73,861",Lionel Messi-6,Marc-André ter Stegen
2017-2018,QF,engManchester City,10,6,0,4,20,12,+8,18,"48,050","Gabriel Jesus,Raheem Sterling... -4",Ederson
2017-2018,QF,itJuventus,10,5,3,2,14,12,+2,18,"38,541",Gonzalo Higuaín-5,Gianluigi Buffon
2017-2018,QF,esSevilla,10,3,5,2,15,15,0,14,"38,512",Wissam Ben Yedder-8,Sergio Rico
2017-2018,R16,engTottenham,8,5,2,1,18,8,+10,17,"69,454",Harry Kane-7,Hugo Lloris
2017-2018,R16,engManchester Utd,8,5,1,2,13,5,+8,16,"74,467",Romelu Lukaku-5,David de Gea
2017-2018,R16,frParis S-G,8,5,0,3,27,9,+18,15,"46,382",Edinson Cavani-7,Alphonse Areola
2017-2018,R16,chBasel,8,5,0,3,13,10,+3,15,"34,854",Dimitri Oberlin-4,Tomáš Vaclík
2017-2018,R16,uaShakhtar,8,5,0,3,11,11,0,15,"33,652","Facundo Ferreyra,Bernard-3",Andriy Pyatov
2017-2018,R16,trBeşiktaş,8,4,2,2,12,13,-1,14,"37,448","Talisca,Cenk Tosun-4",Fabricio
2017-2018,R16,engChelsea,8,3,3,2,17,12,+5,12,"40,218","Eden Hazard,Willian-3",Thibaut Courtois
2017-2018,R16,ptPorto,8,3,2,3,15,15,0,11,"43,568",Vincent Aboubakar-5,José Sá
2017-2018,GR,ruCSKA Moscow,6,3,0,3,8,10,-2,9,"28,259",Vitinho-2,Igor Akinfeev
2017-2018,GR,esAtlético Madrid,6,1,4,1,5,4,+1,7,"57,596",Antoine Griezmann-2,Jan Oblak
2017-2018,GR,deRB Leipzig,6,2,1,3,10,11,-1,7,"41,374",Timo Werner-3,Péter Gulácsi
