Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2019-2020,czSlavia Prague,20,26.9,48.7,6,66,540,6.0,4,3,7,3,1,1,16,0
2019-2020,engTottenham,28,26.2,50.0,8,88,720,8.0,18,15,33,16,2,2,14,0
2019-2020,esValencia,23,27.2,48.5,8,88,720,8.0,12,9,21,11,1,3,19,2
2019-2020,ruZenit,19,28.1,39.5,6,66,540,6.0,6,5,11,6,0,0,17,1
2018-2019,grAEK Athens,20,26.0,40.8,6,66,540,6.0,2,2,4,2,0,0,13,2
2018-2019,nlAjax,22,24.3,52.9,12,132,"1,080",12.0,22,17,39,20,2,2,28,1
2018-2019,esAtlético Madrid,21,26.4,48.9,8,88,720,8.0,11,8,19,11,0,0,23,1
2018-2019,esBarcelona,23,27.7,61.4,12,132,"1,080",12.0,25,18,43,24,1,1,20,1
2018-2019,deBayern Munich,20,28.3,56.9,8,88,720,8.0,15,9,24,13,2,2,12,1
2018-2019,ptBenfica,20,25.5,44.3,6,66,540,6.0,6,3,9,6,0,0,14,1
2018-2019,beClub Brugge,25,24.9,40.2,6,66,540,6.0,6,3,9,5,1,1,8,0
2018-2019,ruCSKA Moscow,22,23.9,44.7,6,66,540,6.0,8,5,13,6,2,2,14,2
2018-2019,deDortmund,24,25.0,60.6,8,88,720,8.0,10,8,18,10,0,1,11,0
2018-2019,trGalatasaray,21,28.4,53.5,6,66,540,6.0,5,2,7,3,2,3,14,1
2018-2019,deHoffenheim,25,25.6,45.0,6,66,540,6.0,11,7,18,10,1,1,13,2
2018-2019,itInter,17,28.1,47.7,6,66,540,6.0,6,4,10,6,0,0,15,0
2018-2019,itJuventus,22,28.4,55.2,10,110,900,10.0,14,11,25,11,3,3,16,1
2018-2019,engLiverpool,20,26.1,51.6,13,143,"1,170",13.0,24,17,41,20,4,5,21,0
2018-2019,ruLoko Moscow,19,29.0,45.8,6,66,540,6.0,3,2,5,3,0,1,16,1
2018-2019,frLyon,21,24.4,43.6,8,88,720,8.0,13,9,22,13,0,0,13,0
2018-2019,engManchester City,21,26.7,63.0,10,110,900,10.0,30,20,50,27,3,4,16,1
2018-2019,engManchester Utd,26,26.2,45.6,10,110,900,10.0,9,5,14,7,2,2,20,1
2018-2019,frMonaco,29,25.0,45.0,6,66,540,6.0,2,1,3,2,0,1,13,0
2018-2019,itNapoli,18,28.2,56.3,6,66,540,6.0,7,5,12,6,1,1,13,0
2018-2019,frParis S-G,20,27.0,58.5,8,88,720,8.0,19,14,33,19,0,0,18,0
2018-2019,ptPorto,25,27.9,53.0,10,110,930,10.3,20,15,35,16,4,5,20,0
2018-2019,nlPSV Eindhoven,18,24.4,31.8,6,66,540,6.0,6,5,11,6,0,0,14,0
2018-2019,esReal Madrid,24,27.0,62.1,8,88,720,8.0,15,12,27,15,0,0,13,1
2018-2019,rsRed Star,20,26.8,30.5,6,66,540,6.0,5,3,8,5,0,0,17,0
2018-2019,itRoma,24,27.4,49.3,8,88,750,8.3,14,12,26,13,1,1,12,1
2018-2019,deSchalke 04,27,26.2,42.3,8,88,720,8.0,8,4,12,5,3,3,16,0
2018-2019,uaShakhtar,20,27.5,49.2,6,66,540,6.0,8,8,16,8,0,0,10,0
2018-2019,engTottenham,24,27.0,52.5,13,143,"1,170",13.0,20,17,37,20,0,0,23,1
